Student ID,G1,G2,G3,G4,G5,1A,1B,1C,1D,1E,1F,1G,Level
G1,7,10,10,9,10,,,,,,,,G
G2,7,6,10,10,9,,,,,,,,G
G3,8,9,10,10,10,,,,,,,,G
G4,7,9,5,6,9,,,,,,,,G
G5,9,10,8,9,10,,,,,,,,G
G6,8,10,7,7,10,,,,,,,,G
G7,8,10,6,7,10,,,,,,,,G
G8,7,3,6,7,8,,,,,,,,G
G9,8,5,8,8,10,,,,,,,,G
G10,2,3,3,3,10,,,,,,,,G
G11,9,9,7,7,10,,,,,,,,G
G12,5,3,1,1,6,,,,,,,,G
G13,4,6,9,5,5,,,,,,,,G
G14,4,8,8,4,6,,,,,,,,G
G15,7,3,4,3,5,,,,,,,,G
G16,10,5,5,8,7,,,,,,,,G
G17,10,7,5,7,9,,,,,,,,G
G18,9,9,5,4,8,,,,,,,,G
G19,10,10,8,8,9,,,,,,,,G
G20,7,8,4,5,6,,,,,,,,G
G21,6,3,1,1,2,,,,,,,,G
G22,7,8,3,4,5,,,,,,,,G
G23,9,9,8,8,8,,,,,,,,G
G24,8,9,7,7,7,,,,,,,,G
G25,9,7,6,6,6,,,,,,,,G
G26,10,10,8,6,8,,,,,,,,G
G27,8,6,7,4,6,,,,,,,,G
G28,10,10,10,5,9,,,,,,,,G
G29,10,8,10,7,7,,,,,,,,G
G30,9,8,7,7,6,,,,,,,,G
G31,10,10,9,8,8,,,,,,,,G
G32,10,5,10,10,10,,,,,,,,G
G33,10,10,10,6,10,,,,,,,,G
G34,8,8,8,5,8,,,,,,,,G
G35,10,10,9,9,10,,,,,,,,G
G36,10,10,9,8,10,,,,,,,,G
G37,10,10,8,5,10,,,,,,,,G
G38,9,9,5,6,9,,,,,,,,G
G39,9,8,3,6,9,,,,,,,,G
G40,10,5,9,9,10,,,,,,,,G
G41,10,9,8,9,10,,,,,,,,G
G42,8,9,9,8,8,,,,,,,,G
U1,,,,,,9,9,7,7,7,8,7,U
U2,,,,,,10,10,9,4,8,7,7,U
U3,,,,,,10,10,10,8,10,8,10,U
U4,,,,,,9,10,8,9,7,6,8,U
U5,,,,,,9,10,5,1,7,4,5,U
U6,,,,,,1,10,9,1,5,1,1,U
U7,,,,,,9,6,7,4,8,6,6,U
U8,,,,,,9,7,10,5,10,10,10,U
U9,,,,,,2,9,5,4,1,1,1,U
U10,,,,,,7,5,9,8,7,5,5,U
U11,,,,,,10,8,10,3,10,10,10,U
U12,,,,,,10,9,10,9,10,9,8,U
U13,,,,,,9,8,8,9,10,10,9,U
U14,,,,,,10,10,10,8,10,8,8,U
U15,,,,,,9,7,7,1,9,2,3,U
U16,,,,,,7,7,9,8,8,8,6,U
U17,,,,,,10,9,10,9,10,10,7,U
U18,,,,,,9,10,10,8,9,8,5,U
U19,,,,,,10,9,10,6,8,4,8,U
U20,,,,,,8,10,7,,8,9,,U
U21,,,,,,9,10,8,2,3,,,U
U22,,,,,,9,8,8,4,7,6,4,U
U23,,,,,,9,9,9,7,8,6,8,U
U24,,,,,,9,7,9,,9,7,8,U
U25,,,,,,8,7,7,2,6,1,2,U
U26,,,,,,10,10,9,10,10,10,10,U
